Day,No,Word,Meaning,Target_Score,Priority,Source_Type
20,89,set up a date,날짜를 잡다,800,3,Intermediate_800
20,90,sharpen,"날카롭게 만들다, (기술을) 향상시키다",800,3,Intermediate_800
20,91,side by side,나란히,800,3,Intermediate_800
20,92,A and B alike,A와 B 모두 마찬가지로,800,3,Intermediate_800
20,93,accountant,회계사,800,3,Intermediate_800
20,94,by contrast,그와 대조적으로,800,3,Intermediate_800
20,95,chief financial officer(CEO),최고 재무 책임자,800,3,Intermediate_800
20,96,corrective,(이전에 잘못된 것을) 바로잡는,800,3,Intermediate_800
20,97,displace,"대신하다, 옮겨 놓다",800,3,Intermediate_800
20,98,far from,결코 -이 아닌,800,3,Intermediate_800
20,99,frequency,빈도,800,3,Intermediate_800
20,100,impressively,"인상적으로, 인상 깊게",800,3,Intermediate_800
20,101,keep to oneself,"비밀로 하다, 독차지 하다",800,3,Intermediate_800
20,102,overly,"지나치게, 몹시",800,3,Intermediate_800
20,103,reasonable,"적당한, 너무 비싸지 않은",800,3,Intermediate_800
20,104,take after,~를 닮다,800,3,Intermediate_800
20,105,unfamiliar,"익숙지 않은, 낯선",800,3,Intermediate_800
20,106,A be followed by B,A 다음에 B가 오다,800,3,Intermediate_800
20,107,a string of,"일련의, 한 줄의",800,3,Intermediate_800
20,108,activate,작동시키다,800,3,Intermediate_800
20,109,add up to,합계가 ~이다,800,3,Intermediate_800
20,110,annual budget,연간 예산,800,3,Intermediate_800
20,111,annual report,연례 보고서,800,3,Intermediate_800
20,112,badly,"가까스로, 거의 ~하지 않는",800,3,Intermediate_800
20,113,be owned by,~의 소유이다,800,3,Intermediate_800
20,114,be suited for,~에 적합하다,800,3,Intermediate_800
20,115,bookkeeper,경리,800,3,Intermediate_800
20,116,bound for,(기차·배가)~행인,800,3,Intermediate_800
20,117,calculation,계산,800,3,Intermediate_800
20,118,cancellation,취소,800,3,Intermediate_800
20,119,capital,자본,800,3,Intermediate_800
20,120,category,"범주, 부분",800,3,Intermediate_800
20,121,claim refund,환불을 요구하다,800,3,Intermediate_800
20,122,collectively,"집합적으로, 총괄하여",800,3,Intermediate_800
20,123,combine A with B,A를 B와 결합시키다,800,3,Intermediate_800
20,124,commercial use,상업적 이용,800,3,Intermediate_800
20,125,common interest,"공동의 이익, 공동 관심사",800,3,Intermediate_800
20,126,compose,"작성하다, 구성하다",800,3,Intermediate_800
20,127,consulting firm,자문회사,800,3,Intermediate_800
20,128,conversion,전환,800,3,Intermediate_800
20,129,digit,숫자,800,3,Intermediate_800
20,130,monetary,"금전의, 재정적인",800,3,Intermediate_800
20,131,outlay,"지출, 경비",800,3,Intermediate_800
20,132,place of origin,원산지,800,3,Intermediate_800
20,133,purchase order,구입 주문(서),800,3,Intermediate_800
20,134,rigorously,엄격히,800,3,Intermediate_800
20,135,shipping and handling fee,(운임·포장료 등) 배송 취급 요금,800,3,Intermediate_800
20,136,unplug device,기계의 플러그를 뽑다,800,3,Intermediate_800
20,137,well in advance,훨씬 앞서서,900,4,Advanced_900
20,138,ledger,회계 장부,900,4,Advanced_900
20,139,adjournment,"연기, 휴회",900,4,Advanced_900
20,140,cash reserves,현금 보유고,900,4,Advanced_900
20,141,inconsistency,불일치,900,4,Advanced_900
20,142,preclude,막다,900,4,Advanced_900
20,143,pretax,세금 공제 전의,900,4,Advanced_900
20,144,plus tax,세금 별도,900,4,Advanced_900
20,145,in place,제자리에,900,4,Advanced_900
20,146,statistics,통계학,900,4,Advanced_900
20,147,back order,이월 주문,900,4,Advanced_900
20,148,be in the red,적자 상태에 있다,900,4,Advanced_900
20,149,liability,책임,900,4,Advanced_900
20,150,classification,분류; 등급,900,4,Advanced_900
20,151,pros and cons,찬반양론; 이해득실,900,4,Advanced_900
20,152,implicate,연루되었음을 시사하다,900,4,Advanced_900
20,153,incrementally,증가하여,900,4,Advanced_900
20,154,stringently,"엄격히, 엄중하게",900,4,Advanced_900
20,155,year-end,연말의,900,4,Advanced_900
20,156,substantively,"사실상, 실제로",900,4,Advanced_900
20,157,whereabout,"소재, 행방",900,4,Advanced_900
20,158,discrepancy,"불일치, 차이",900,4,Advanced_900
20,159,reliably,"신뢰할 수 있게, 확실하게",900,4,Advanced_900
20,160,amply,"풍부하게, 충분히",900,4,Advanced_900
20,161,precedent,전례,900,4,Advanced_900
20,162,be in the black,흑자 상태에 있다,900,4,Advanced_900
20,163,operation budget,운영 예산,900,4,Advanced_900
20,164,levy,부과금,900,4,Advanced_900
20,165,relevance,"적절, 타당성; 관련성",900,4,Advanced_900
20,166,vary from A to B,상황에 따라 다르다,900,4,Advanced_900
20,167,by a considerable margin,큰 차이로,900,4,Advanced_900
20,168,break-even point,손익 분기점,900,4,Advanced_900
