Day,No,Word,Meaning,Target_Score,TOEIC_Frequency,Word_Type,Difficulty,Theme,Synonyms,Antonyms,Related_Words
1,53,efficiently,효율적으로,650,10,adverb,intermediate,사무/업무,"productively, effectively, quickly","inefficiently, poorly","optimize, streamline, output"
1,54,file,"서류, (서류를) 정리하다, 철하다, 정식으로 제기하다",650,10,noun,basic,사무/업무,"document, submit, register",none,"paperwork, record, organize"
1,55,deadline,"마감일, 마감 시간",650,10,noun,basic,사무/업무,"due date, cutoff, time limit","beginning, start","schedule, prioritize, submit"
1,56,extend,"연장하다, (기간을)늘리다,
(감사의 뜻을)말하다, 베풀다",650,10,verb,basic,사무/업무,"prolong, lengthen, offer","shorten, reduce","deadline, schedule, renewal"
1,57,additional,"추가의, 부가적인",650,10,adjective,basic,사무/업무,"extra, supplemental, auxiliary","initial, primary","attached, further, include"
1,58,need,"필요, 요구, 욕구, ~할 필요가 있다",650,10,noun,basic,사무/업무,"requirement, necessity, demand",superfluity,"essential, mandatory, fulfill"
1,59,submit,제출하다,650,10,verb,basic,사무/업무,"hand in, present, turn in","retrieve, withdraw","deadline, application, review"
1,60,upcoming,"곧 있을, 다가오는",650,10,adjective,basic,사무/업무,"forthcoming, approaching, imminent","previous, past","schedule, meeting, event"
1,61,present,"제시하다, 현재의, 참석한",650,10,verb,basic,사무/업무,"offer, display, submit","absent, past","conference, proposal, attendees"
1,62,issue,"(출판물의)제~호, 문제, 쟁점",650,10,noun,basic,사무/업무,"concern, matter, release",resolution,"address, resolve, publication"
1,63,period,"기간, 시기",650,10,noun,basic,사무/업무,"duration, interval, term",moment,"schedule, timeline, deadline"
1,64,requirement,"필요조건,요건",650,10,noun,basic,사무/업무,"prerequisite, specification, necessity","option, preference","standard, condition, qualify"
1,65,form,"종류, 유형, 양식",650,10,noun,basic,사무/업무,"document, application, type",none,"submit, complete, template"
1,66,current,"현재의, 현행의, 통용되는",650,10,adjective,basic,사무/업무,"present, ongoing, existing","previous, outdated","update, status, relevant"
1,67,promptly,"즉시, 정각에",650,10,adverb,intermediate,사무/업무,"immediately, punctually, swiftly","late, delayed","deadline, schedule, timely"
1,68,involve,"수반하다, 포함하다, 참여시키다",650,10,verb,basic,사무/업무,"entail, include, participate","exclude, omit","task, project, require"
1,69,efficiency,"효율, 능률",650,10,noun,basic,사무/업무,"productivity, competence, proficiency","inefficiency, wastefulness","manage, optimize, performance"
1,70,preparation,"준비, 대비",650,10,noun,basic,사무/업무,"readiness, arrangement, planning","unpreparedness, spontaneity","organize, schedule, deadline"
1,71,availability,"(입수)가능성, 유효성, 유용성",650,10,noun,intermediate,사무/업무,"accessibility, readiness, usefulness","scarcity, shortage","schedule, accessible, supply"
1,72,handle,"취급하다, 다루다",650,10,verb,basic,사무/업무,"manage, deal with, process","neglect, disregard","task, responsibility, organize"
1,73,process,"과정, 처리하다",650,10,noun,basic,사무/업무,"procedure, handle, method","halt, neglect","task, submit, procedure"
1,74,update,"갱신,개정,갱신하다, 최신의 것으로 하다",650,10,verb,basic,사무/업무,"refresh, revise, amend","neglect, halt","status, documentation, latest"
1,75,unavailable,"이용할 수 없는, 구할 수 없는",650,10,adjective,basic,사무/업무,"occupied, inaccessible, out of stock","available, accessible","schedule, capacity, delivery"
1,76,available,"(사물이) 이용 가능한, (사람이) 시간이 있는",650,10,adjective,basic,사무/업무,"accessible, obtainable, free","unavailable, occupied","schedule, resource, capacity"
1,77,regularly,정기적으로,650,10,adverb,basic,사무/업무,"frequently, periodically, consistently","rarely, irregularly","schedule, routine, maintenance"
1,78,schedule,~을 예정하다,650,10,verb,basic,사무/업무,"plan, arrange, timetable","postpone, delay","agenda, deadline, calendar"
1,79,require,요구하다,650,10,verb,basic,사무/업무,"demand, necessitate, mandate","waive, exempt","requirement, mandatory, fulfill"
1,80,participate,"참여하다, 참가하다",650,10,verb,basic,사무/업무,"attend, take part, engage","abstain, withdraw","attendance, involvement, contribution"
2,1,inform,~에게 알리다,650,10,verb,basic,의사소통,"notify, advise, communicate","conceal, hide","announcement, discussion, report"
2,2,note,"주목하다, 특별히 언급하다",650,10,verb,basic,의사소통,"remark, observe, mention","ignore, overlook","memo, notification, minutes"
2,3,notify,"~에게 통지하다, 알리다",650,10,verb,basic,의사소통,"inform, alert, communicate","ignore, conceal","memo, announcement, advise"
2,4,explain,설명하다,650,10,verb,basic,의사소통,"clarify, interpret, elaborate","confuse, obscure","instruction, detailed, comprehension"
2,5,announcement,"공고, 발표",650,10,noun,basic,의사소통,"notice, declaration, statement",none,"broadcast, publicize, inform"
2,6,request,"요청, 요청하다",650,10,verb,basic,의사소통,"inquiry, solicitation, appeal","denial, refusal","authorize, formally, approve"
2,7,indicate,"보여주다, 나타내다",650,10,verb,intermediate,의사소통,"show, signify, reveal","conceal, hide","inform, data, statement"
2,8,audience,"청중, 관중",650,10,noun,basic,의사소통,"spectators, listeners, attendees","speaker, presenter","presentation, discussion, address"
2,9,appreciate,"고맙게 생각하다, 높이 평가하다, 감상하다",650,10,verb,intermediate,의사소통,"value, acknowledge, recognize","overlook, criticize","gratitude, praise, feedback"
2,10,acknowledge,"인정하다, (편지 등의) 수령을 알리다",650,10,verb,intermediate,의사소통,"recognize, confirm receipt, admit","deny, ignore","inform, notify, receive"
2,11,attend,"참석하다, 출석하다",650,10,verb,basic,의사소통,"participate, be present, go to","miss, skip","meeting, conference, register"
2,12,contact,"~와 연락하다, 
(상업적 목적으로)교섭하고 있는 사람",650,10,verb,basic,의사소통,"communicate, reach, liaison","avoid, disassociate","inform, notify, address"
2,13,confirm,확인하다,650,10,verb,basic,의사소통,"verify, approve, validate","cancel, reject","reservation, schedule, verify"
2,14,cancel,취소하다,650,10,verb,basic,의사소통,"annul, revoke, call off","confirm, schedule","postpone, reservation, appointment"
2,15,discuss,"논의하다, 토론하다",650,10,verb,basic,의사소통,"consult, confer, deliberate","ignore, remain silent","meeting, agenda, negotiation"
2,16,response,"응답, 대답",650,10,noun,basic,의사소통,"reply, answer, feedback","question, silence","inform, notify, inquiry"
2,17,imply,"암시하다, 넌지시, 나타내다, 의미하다",650,10,verb,intermediate,의사소통,"suggest, indicate, signify","state, express","meaning, communicate, explicit"
2,18,recipient,수신자,650,10,noun,intermediate,의사소통,"receiver, beneficiary, addressee","sender, dispatcher","shipment, message, delivery address"
2,19,information,"정보, 자료",650,10,noun,basic,의사소통,"data, details, knowledge",none,"report, communication, notify"
2,20,conference,"회의, 회담",650,10,noun,basic,의사소통,"meeting, seminar, convention",none,"discussion, venue, agenda"
2,21,suggest,"제안하다, 추천하다",650,10,verb,basic,의사소통,"propose, recommend, advise","reject, withdraw","proposal, idea, discussion"
2,22,recommend,"권고하다, 추천하다",650,10,verb,basic,의사소통,"endorse, suggest, advise","criticize, oppose","referral, suggestion, approval"
2,23,clear,"말게 갠, 명백한, 분명한, 또렷하게, 완전히,
떨어져서",650,10,adjective,basic,의사소통,"explicit, distinct, evident","ambiguous, vague","clarify, instruction, transparent"
2,24,meeting,회의,650,10,noun,basic,의사소통,"conference, session, discussion",none,"agenda, minutes, schedule"
2,25,minutes,회의록,650,10,noun,basic,의사소통,"records, proceedings, summary",none,"agenda, document, finalize"
2,26,specifically,"명확하게, 분명히, 특히, 특별히",650,9,adverb,basic,의사소통,"explicitly, precisely, clearly","vaguely, generally","define, detail, instruction"
2,27,remind,"~에게 상기시키다, 일깨우다",650,9,verb,basic,의사소통,"notify, prompt, inform","forget, overlook","memo, announcement, instruction"
2,28,aware,"알고 있는, 인식하고 있는",650,9,adjective,basic,의사소통,"conscious, informed, knowledgeable","unaware, ignorant","notify, comprehend, information"
2,29,author,"작가, 저자",650,9,noun,basic,의사소통,"writer, creator, originator",none,"document, publication, manuscript"
2,30,overview,"개요, 개관",650,9,noun,basic,의사소통,"summary, synopsis, outline","detail, specifics","presentation, report, briefing"
2,31,advise,"조언해 주다, 충고하다",650,9,verb,basic,의사소통,"counsel, recommend, suggest",none,"consultant, feedback, inform"
2,32,release,"발표하다, 공개하다, 출시, 발매",650,9,noun,basic,의사소통,"disclose, publish, issue","conceal, withhold","statement, press conference, launch"
2,33,feedback,"의견, 반응",650,9,noun,basic,의사소통,"input, reaction, comments",none,"suggestion, review, evaluation"
2,34,discussion,"토론, 토의",650,9,noun,basic,의사소통,"deliberation, debate, conference",silence,"agenda, feedback, negotiate"
2,35,interact,"소통하다, 교류하다, 상호 작용을 하다",650,9,verb,basic,의사소통,"communicate, cooperate, engage","ignore, isolate","collaborate, discussion, relationship"
2,36,notice,"통지, 공고",650,9,noun,basic,의사소통,"announcement, memo, notification","secrecy, concealment","inform, circulate, warning"
2,37,respond,응답하다,650,9,verb,basic,의사소통,"reply, answer, acknowledge",ignore,"inquiry, feedback, communication"
2,38,summarize,요약하다,650,9,verb,intermediate,의사소통,"outline, condense, abstract","elaborate, expand","report, brief, presentation"
2,39,give,(연설·수업 등을) 하다,650,9,verb,basic,의사소통,"deliver, present, conduct",none,"speech, seminar, lecture"
2,40,announce,발표하다,650,9,verb,basic,의사소통,"notify, inform, state","conceal, hide","notification, disclosure, release"
2,41,correspondence,"편지, 통신문",650,9,noun,intermediate,의사소통,"communication, memo, email",none,"sender, recipient, document"
2,42,notification,통지,650,9,noun,intermediate,의사소통,"announcement, memo, notice",none,"inform, advise, communicate"
2,43,reveal,"밝히다, 누설하다",650,9,verb,intermediate,의사소통,"disclose, expose, unveil","conceal, hide","confidential, inform, announcement"
2,44,clearly,명확히,650,9,adverb,basic,의사소통,"distinctly, obviously, precisely","vaguely, ambiguously","explain, detail, explicit"
2,45,decline,"감소,하락,(초대·신청을)거절하다,감소하다,줄다",650,9,noun,intermediate,의사소통,"refuse, reject, decrease","accept, increase","proposal, invite, growth"
2,46,interested,"관련 있는, 관심이 있는",650,9,adjective,basic,의사소통,"involved, concerned, engaged","uninterested, indifferent","relevant, participation, inquiry"
2,47,interrupt,"중단시키다, 방해하다",650,9,verb,intermediate,의사소통,"halt, suspend, disrupt","continue, proceed","delay, reschedule, discussion"
2,48,regard,"~을 -으로 간주하다, 여기다, 관심, 배려",650,9,verb,basic,의사소통,"consider, view, concern","disregard, ignore","reference, perspective, respect"
2,49,presentation,발표,650,9,noun,basic,의사소통,"speech, briefing, report",none,"audience, visual aid, seminar"
2,50,alternatively,"그렇지 않으면, 그 대신에",650,9,adverb,intermediate,의사소통,"instead, otherwise, optionally","necessarily, primarily","choice, option, recommendation"
2,51,informed,정보에 근거한,650,9,adjective,intermediate,의사소통,"knowledgeable, aware, educated","ignorant, uninformed","data, analysis, decision"
2,52,mention,언급하다,650,9,verb,basic,의사소통,"state, note, refer","conceal, disregard","comment, report, discussion"
2,53,emphasis,"강조, 중점",650,9,noun,intermediate,의사소통,"stress, priority, focus","understatement, triviality","importance, highlight, convey"
2,54,suggestion,제안,650,9,noun,basic,의사소통,"proposal, recommendation, advice","rejection, demand","feedback, propose, discuss"
2,55,agenda,"의제, 의사일정",650,9,noun,intermediate,의사소통,"program, schedule, curriculum",none,"meeting, discuss, coordinate"
2,56,attention,"주의, 경청",650,9,noun,basic,의사소통,"focus, notice, mindfulness","neglect, distraction","notify, inform, concentrate"
2,57,advice,"조언, 충고",650,9,noun,basic,의사소통,"counsel, recommendation, guidance",none,"consult, inform, discuss"
2,58,relation,관계,650,9,noun,basic,의사소통,"connection, link, association",separation,"communicate, network, client"
2,59,summary,"요약, 개요",650,9,noun,basic,의사소통,"overview, abstract, brief","expansion, detail","report, conclusion, documentation"
2,60,participation,"참여, 참가, 가입",650,9,noun,basic,의사소통,"involvement, engagement, attendance","absence, withdrawal","attend, register, session"
2,61,demonstrate,"증명하다, (모형 〮실험 등으로) 설명하다",650,8,verb,intermediate,의사소통,"show, prove, illustrate","conceal, hide","presentation, explain, verify"
2,62,convey,(용건을) 전달하다,650,8,verb,intermediate,의사소통,"communicate, transmit, relate","withhold, conceal","message, inform, notify"
2,63,anonymous,"익명의, 이름을 모르는",650,8,adjective,intermediate,의사소통,"unnamed, unidentified, undisclosed","identified, public","feedback, survey, confidential"
2,64,informative,"유익한, 정보를 주는",650,8,adjective,basic,의사소통,"educational, instructive, insightful","useless, vague","discuss, detail, brief"
2,65,clarify,명확하게 하다,650,8,verb,intermediate,의사소통,"explain, elaborate, define","confuse, obscure","instruction, detail, articulate"
2,66,disclose,"공개하다, 드러내다",650,8,verb,intermediate,의사소통,"reveal, divulge, unveil","conceal, hide","confidentially, notification, inform"
2,67,refuse,거절하다,650,8,verb,basic,의사소통,"decline, reject, turn down","accept, approve","negotiate, request, deny"
2,68,confuse,혼란시키다,650,8,verb,basic,의사소통,"perplex, baffle, obscure","clarify, explain","miscommunication, misunderstanding, ambiguous"
2,69,aspect,"관점, 국면",650,8,noun,intermediate,의사소통,"facet, feature, dimension","entirety, whole","perspective, detail, consideration"
2,70,outline,"개요, 설명하다, 약술하다",650,8,noun,intermediate,의사소통,"summary, overview, summarize","detail, elaborate","proposal, presentation, brief"
2,71,politely,"공손하게, 예의바르게",650,8,adverb,basic,의사소통,"courteously, respectfully, civilly","rudely, abruptly","address, correspondence, interact"
2,72,brief,"~에게 간단히 설명하다, 브리핑 하다",650,8,verb,intermediate,의사소통,"inform, instruct, summarize","conceal, elaborate","meeting, update, agenda, instruction"
2,73,regrettably,유감스럽게도,650,8,adverb,intermediate,의사소통,"unfortunately, sadly, unhappily","fortunately, happily","apologize, sincerely, inconvenience, delay"
2,74,persuasive,설득력 있는,650,8,adjective,intermediate,의사소통,"convincing, compelling, eloquent","weak, unconvincing","negotiation, debate, argument"
2,75,emphasize,강조하다,650,8,verb,intermediate,의사소통,"highlight, stress, underscore","minimize, overlook","remark, notify, discuss"
2,76,convince,"납득시키다, 확신시키다",650,8,verb,intermediate,의사소통,"persuade, assure, satisfy","dissuade, confuse","influence, proposal, argument"
2,77,comment,"논평하다, 언급하다",650,8,verb,basic,의사소통,"remark, statement, note","silence, withhold","feedback, discussion, inquiry"
2,78,refreshments,"다과, 가벼운 음식물",650,8,noun,intermediate,의사소통,"snacks, beverages, catering",none,"venue, meeting, catering service"
2,79,consult,"상의하다, 상담하다",650,8,verb,basic,의사소통,"confer, advise, deliberate","ignore, decide","advice, expert, recommendation"
2,80,lecture,"강의, 강연",650,8,noun,basic,의사소통,"presentation, seminar, talk",none,"instructor, curriculum, training"
3,1,local,"지방의, 고장의",650,10,adjective,basic,시설/장소,"regional, domestic, neighborhood","global, international","venue, facility, location"
3,2,area,"지역, 구역",650,10,noun,basic,시설/장소,"region, zone, section",none,"location, vicinity, premises"
3,3,repair,수리하다,650,10,verb,basic,시설/장소,"fix, mend, restore","damage, break","maintenance, service, equipment"
3,4,reserved,"예약된, 예약한, 지정된",650,10,adjective,basic,시설/장소,"booked, secured, designated","available, unoccupied","appointment, confirmation, venue"
3,5,location,"장소, 위치",650,10,noun,basic,시설/장소,"venue, site, area",none,"facility, address, premises"
3,6,construction,"건설, 건축",650,10,noun,basic,시설/장소,"building, structure, development","demolition, destruction","site, blueprint, facility"
3,7,renovation,"수리, 개조",650,10,noun,basic,시설/장소,"refurbishment, overhaul, restoration","demolition, decay","facility, maintenance, construction"
3,8,expand,"확장하다, 확대하다",650,9,verb,intermediate,시설/장소,"broaden, enlarge, grow","reduce, contract, shrink","facility, acquisition, capacity"
3,9,accessible,"출입할 수 있는, 이용할 수 있는",650,9,adjective,intermediate,시설/장소,"available, reachable, obtainable","restricted, unavailable","facility, access, entry"
3,10,headquarters,본부,650,9,noun,basic,시설/장소,"main office, central office, corporate center","branch, subsidiary","facility, premises, location"
3,11,reserve,"예약하다, 지정하다, 보존하다",650,9,verb,basic,시설/장소,"book, secure, arrange","cancel, release","accommodation, venue, schedule"
3,12,admission,입장,650,9,noun,intermediate,시설/장소,"entry, access, admittance","refusal, exclusion","ticket, venue, facility"
3,13,equipment,"장비, 설비",650,9,noun,basic,시설/장소,"apparatus, machinery, gear",none,"facility, maintenance, install"
3,14,check in,"체크인하다, 숙박 수속을 하다",650,9,phrase,basic,시설/장소,"register, report arrival, confirm presence","check out, depart","reservation, reception, accommodation"
3,15,locate,"(~의 위치를) 찾아내다, ~을 위치시키다",650,9,verb,basic,시설/장소,"pinpoint, discover, situate","misplace, lose","site, proximity, facility"
3,16,conveniently,편리하게,650,9,adverb,intermediate,시설/장소,"easily, suitably, handily",inconveniently,"location, access, proximity"
3,17,power,"전력, 전기",650,9,noun,basic,시설/장소,"electricity, energy, current","outage, darkness","utility, maintenance, facility"
3,18,reception,"환영회, (호텔·회사·병원 등의) 접수처",650,9,noun,basic,시설/장소,"welcome desk, front desk, greeting",none,"lobby, venue, attendant"
3,19,seating,"(집합적)좌석 설비, 좌석 배열",650,9,noun,basic,시설/장소,"arrangement, capacity, accommodation",none,"venue, reservation, layout"
3,20,occupancy,(호텔 등의) 이용률,650,9,noun,advanced,시설/장소,"utilization, capacity, tenancy",vacancy,"room rate, reservation, facility"
3,21,amenity,편의 시설,650,9,noun,intermediate,시설/장소,"feature, convenience, facility","drawback, inadequacy","premises, equipment, maintenance"
3,22,host,(대회 등을) 주최하다,650,9,verb,intermediate,시설/장소,"organize, hold, arrange","attend, cancel","venue, conference, convention"
3,23,tour,"(공장·시설 등의) 견학, 짧은 여행",650,9,noun,basic,시설/장소,"visit, inspection, viewing",none,"facility, premises, operation"
3,24,expansion,"확장, 팽창",650,9,noun,intermediate,시설/장소,"growth, enlargement, extension","reduction, contraction","facility, premises, investment"
3,25,furnished,가구가 비치된,650,9,adjective,intermediate,시설/장소,"equipped, fitted, supplied","unfurnished, bare","equipment, amenities, facility"
3,26,spacious,(공간이)넓은,650,9,adjective,basic,시설/장소,"roomy, expansive, sizable","cramped, confined","premises, accommodation, capacity"
3,27,restore,"복구하다, 회복시키다",650,9,verb,intermediate,시설/장소,"repair, renovate, recover","damage, destroy","maintenance, repair, facility"
3,28,residence,"거주지, 주택",650,9,noun,basic,시설/장소,"dwelling, housing, domicile",none,"premises, accommodation, location"
3,29,platform,승강장,650,9,noun,basic,시설/장소,"stage, structure, terminal",none,"venue, location, premises"
3,30,closure,폐쇄,650,9,noun,basic,시설/장소,"shutdown, termination, discontinuance","opening, commencement","facility, premises, relocate"
3,31,decorate,장식하다,650,8,verb,intermediate,시설/장소,"furnish, adorn, embellish","strip, simplify","facility, premises, interior"
3,32,comfortable,편안한,650,8,adjective,basic,시설/장소,"cozy, relaxed, convenient","uncomfortable, inconvenient","environment, seating, facility"
3,33,relocate,(공장 등을) 이전하다,650,8,verb,intermediate,시설/장소,"move, transfer, displace","stay, remain","premises, facility, lease, site"
3,34,appearance,"외관, 외모",650,8,noun,intermediate,시설/장소,"look, facade, presence","essence, content","design, exterior, presentation"
3,35,crowded,"붐비는, 복잡한",650,8,adjective,basic,시설/장소,"packed, congested, jammed","empty, deserted","venue, capacity, traffic"
3,36,designated,지정된,650,8,adjective,intermediate,시설/장소,"specified, appointed, assigned","unspecified, unauthorized","venue, location, access"
3,37,proximity,"가까움, 근접함",650,8,noun,intermediate,시설/장소,"closeness, vicinity, nearness","distance, remoteness","facility, premises, location"
3,38,attraction,관광 명소,650,8,noun,basic,시설/장소,"site, venue, landmark",none,"tourism, destination, location"
3,39,beverage,음료,650,8,noun,intermediate,시설/장소,"drink, refreshment, liquid",none,"catering, provision, consumption"
3,40,unoccupied,"(집 등이) 비어있는, 사람이 살지 않는",650,8,adjective,intermediate,시설/장소,"vacant, empty, available","occupied, full","lease, tenancy, property"
3,41,leak,"누출, 누출량, (물·빛이) 새게 하다",650,8,noun,basic,시설/장소,"disclosure, seepage, spill","containment, seal","maintenance, repair, facility"
3,42,intersection,"교차로, 교차 지점",650,8,noun,intermediate,시설/장소,"crossing, junction, interchange",none,"traffic, venue, route"
3,43,banquet,"연회, 만찬",650,7,noun,intermediate,시설/장소,"feast, reception, formal dinner",none,"venue, capacity, catering"
3,44,function,"행사, 연회",650,7,noun,intermediate,시설/장소,"event, gathering, reception",none,"venue, facility, reservation"
3,45,dense,"빽빽한, 밀집한",650,7,adjective,intermediate,시설/장소,"concentrated, compact, crowded","sparse, scattered","premises, layout, capacity"
3,46,dispose,"처분하다, 처리하다",650,7,verb,intermediate,시설/장소,"discard, eliminate, handle","retain, acquire","waste, equipment, facility"
3,47,inaccessible,"접근이 불가능한, 이용이 불가능한",650,7,adjective,intermediate,시설/장소,"unattainable, unavailable, restricted","accessible, available","premises, restricted, utilization"
3,48,equip,"갖추다, 설비하다",650,7,verb,intermediate,시설/장소,"furnish, provide, supply","disarm, divest","equipment, facility, installation"
3,49,cleanliness,청결,650,7,noun,intermediate,시설/장소,"hygiene, sanitation, spotlessness","dirtiness, contamination","maintenance, facility, standard"
